,start_station_id,start_station_name,lat,lon,bike_counts
74,31063,S George Mason Dr & S Four Mile Run Dr,38.85225417746804,-77.10503232870103,2
75,31064,Gravelly Point,38.865027893373004,-77.03951708570183,23
76,31065,N Pershing Dr & N Wayne St,38.880711925998725,-77.08604053224994,4
77,31065,Pershing Dr & Wayne St,38.88071140495193,-77.0860075981261,3
78,31066,Columbia Pike & S Orme St,38.867270243593055,-77.07231604537965,3
79,31067,Columbia Pike & S Walter Reed Dr,38.86247576432849,-77.08659057512737,3
80,31068,Arlington Mill Cmty Center / Columbia Pike & S Dinwiddie St,38.85636218993983,-77.11157266353834,5
81,31069,N Pershing Dr & N George Mason Dr,38.87180913054777,-77.10792781971226,2
82,31069,Pershing Dr & N George Mason Dr,38.87181184574459,-77.10792149594968,3
83,31070,Arlington Blvd & Fillmore St,38.873749996102184,-77.08924213097755,3
84,31071,Eads St & 12th St S,38.862937299554815,-77.0544508314473,12
85,31072,31st St & S Woodrow St,38.837850930509205,-77.09348129824724,2
86,31073,Washington Blvd & Walter Reed Dr ,38.87323247347956,-77.08210579201555,3
87,31074,TJ Cmty Ctr / 2nd St & S Old Glebe Rd,38.86942559078111,-77.09560277664377,4
88,31075,Rolfe St & 9th St S,38.86647429268978,-77.07613004200584,3
89,31076,S Randolph St & Campbell Ave,38.84063372488074,-77.0886867511172,3
90,31077,Iwo Jima Memorial / Meade & 14th St N,38.88991664523612,-77.07130157943621,14
91,31078,Arlington Blvd & S George Mason Dr,38.86944265958893,-77.10449799054956,3
92,31079,Langston Blvd & N Cleveland St,38.89494293843363,-77.09170282720744,4
93,31080,Langston Blvd & N Scott St,38.89761923597171,-77.08085268030877,5
94,31081,Duke St & John Carlyle St,38.8043846331511,-77.06086814457869,3
95,31082,Eisenhower Ave & Mill Race Ln,38.80109406224662,-77.06894256367754,4
96,31083,Potomac Greens Dr & Slaters Ln,38.821749886862186,-77.04749229680345,4
97,31084,Ballenger Ave & Dulaney St,38.802675062941155,-77.06356688444612,3
98,31085,Mount Vernon Ave & E Nelson Ave,38.820063471576255,-77.05761954080707,4
99,31086,Mount Vernon Ave & E Del Ray Ave,38.82595415540068,-77.05854656353935,4
100,31087,Monroe Ave & Leslie Ave,38.82093463498877,-77.05309057600105,4
101,31088,Mount Vernon Ave & Kennedy St,38.83306995096593,-77.05982334452146,3
102,31089,Court House Metro / 15th St & N Uhle St,38.89060421943519,-77.08480583797014,12
103,31090,Long Bridge Park / Long Bridge Dr & 6th St S,38.86555203582701,-77.0500261785507,3
104,31091,Joyce St & 16th St S,38.85925593485121,-77.06327513353872,6
105,31092,Langston Blvd & N Monroe St,38.89645381877649,-77.10455783235709,3
106,31093,21st St & N Pierce St,38.8989823676614,-77.07832293993481,4
107,31094,Langston Blvd & N Kirkwood Rd,38.89536995103497,-77.0971675044862,2
108,31094,Langston Blvd & N Kirkwood St,38.8953699376795,-77.09715720268618,2
109,31095,Army Navy Dr & S Nash St,38.86219432367686,-77.0681442294329,2
110,31096,Walter Reed Dr & 8th St S,38.86614489760003,-77.08783597300975,3
111,31097,Saint Asaph St & Madison St,38.81271008270721,-77.0441083817903,4
112,31098,King St Metro North / Cameron St,38.80702812696021,-77.05981026060282,7
113,31099,Madison St & N Henry St,38.81348624994194,-77.04946645173456,2
114,31100,19th St & Pennsylvania Ave NW,38.90028283073288,-77.04290600289222,13
115,31101,14th & V St NW,38.91776955318205,-77.03206572527516,63
116,31102,11th & Kenyon St NW,38.92946595176221,-77.02782195718927,35
117,31103,15th & Harvard St NW,38.92612708274481,-77.03542748073038,6
118,31104,Adams Mill & Columbia Rd NW,38.92289698892866,-77.04253052342321,45
119,31105,14th & Harvard St NW,38.92678577363187,-77.03220410235542,11
120,31106,Calvert & Biltmore St NW,38.9232001323296,-77.04764296342198,14
121,31107,Lamont & Mt Pleasant NW,38.93191234196085,-77.03879006381473,30
122,31108,4th & M St SW,38.8767321772187,-77.01786629389576,45
123,31109,7th & T St NW,38.91560424997038,-77.02198954313636,22
124,31109,7th St & Florida Ave NW,38.91614020217732,-77.02201334952447,26
125,31110,20th St & Florida Ave NW,38.915402097240154,-77.04459989742939,33
126,31111,10th & U St NW,38.917198972734745,-77.02590244495431,18
127,31112,Harvard St & Adams Mill Rd NW,38.92787581627759,-77.04334737602292,10
128,31113,Columbia Rd & Belmont St NW,38.92066260818453,-77.04367251806335,24
129,31114,18th St & Wyoming Ave NW,38.91880331760003,-77.04157146698508,46
130,31115,Columbia Rd & Georgia Ave NW,38.92811466580046,-77.02378650268771,23
131,31116,California St & Florida Ave NW,38.91776057256551,-77.04062732545763,42
132,31117,15th & Euclid St NW,38.923354897865835,-77.03518178430268,24
133,31118,3rd & Elm St NW,38.91762333866273,-77.01596843421697,25
134,31119,14th & Belmont St NW,38.921069834858855,-77.03186103880977,35
135,31120,10th & Florida Ave NW,38.92038629179243,-77.02566928934606,27
136,31120,10th St & Florida Ave NW,38.920381603570426,-77.02567271127035,29
137,31121,Calvert St & Woodley Pl NW,38.92358092369096,-77.05005186389104,21
