,start_station_id,start_station_name,lat,lon,bike_counts
28,31026,Washington Blvd & 10th St N,38.88473124740671,-77.0934871064222,59
29,31027,Wilson Blvd & N Quinn St,38.8940006943363,-77.07858122145007,82
30,31028,N Veitch St & Key Blvd,38.893236173587155,-77.08606101124171,16
31,31029,N Veitch St & 20th St N,38.896933915508576,-77.08649051046083,36
32,31030,Langston Blvd & N Adams St,38.89593685113148,-77.08900228320347,84
33,31031,15th St & N Scott St,38.8905391199994,-77.08094084200283,45
34,31032,Washington Blvd & 7th St N,38.88080950005414,-77.09078571227549,27
35,31033,Barcroft Community Center,38.85033971942944,-77.10098687021141,17
36,31034,Fairfax Dr & N Randolph St,38.88262422401293,-77.10937378813814,50
37,31035,N Quincy St & Glebe Rd,38.87638731021302,-77.10772643134122,32
38,31036,George Mason Dr & Wilson Blvd,38.87886786218548,-77.12069691784981,37
39,31037,Ballston Metro / Stuart St & 9th St N,38.88104386990611,-77.11177107819042,115
40,31038,Glebe Rd & 11th St N,38.88392662680651,-77.11681673751414,30
41,31039,Wilson Blvd & N Quincy St,38.87999337727269,-77.10784126552173,84
42,31040,GMU / Fairfax Dr & Kenmore St,38.88461761436082,-77.10107591543658,23
43,31040,GMU/Fairfax Dr & Kenmore St,38.88469169971513,-77.10034196237585,38
44,31041,Prince St & Union St,38.80312145556303,-77.04035423722681,67
45,31042,Market Square / King St & Royal St,38.80471689567476,-77.04335763163395,57
46,31043,St Asaph & Pendleton St,38.810742521877984,-77.04462640181755,31
47,31044,King St & Patrick St,38.805312485251164,-77.04988850090288,35
48,31045,Commerce St & Fayette St,38.805647972420985,-77.05292994454118,25
49,31046,Henry St & Pendleton St,38.811457272924166,-77.05027199944635,17
50,31047,Braddock Rd Metro,38.81457110833333,-77.05280923518518,7
51,31047,Braddock Rd Metro North,38.81457424589537,-77.0528089450455,29
52,31048,King St Metro South,38.80576556388568,-77.06064681350999,36
53,31049,Fairfax Dr & N Taylor St,38.88240857236856,-77.11275845167225,33
54,31049,Utah St & 11th St N,38.88367224286434,-77.11390666739453,20
55,31050,Barton St & 10th St N,38.884987783458655,-77.08778948672574,21
56,31051,Arlington Blvd & N Queen St,38.889361109409535,-77.07729707630334,39
57,31052,Potomac Ave & 35th St S,38.84401065966153,-77.05052941285527,39
58,31053,Columbia Pike & S Courthouse Rd,38.8638614259119,-77.08032261882926,27
59,31054,Wakefield High School,38.84713570422597,-77.11254307120225,23
60,31055,28th St & S Meade St,38.84623084371375,-77.06928880720402,28
61,31056,S Troy St & 26th St S,38.84798720328703,-77.07511276008864,14
62,31056,Troy St & 26th St S,38.84798303539361,-77.07511167929715,15
63,31057,Four Mile Run Dr & S Shirlington Rd,38.84440027256333,-77.08592857060967,14
64,31057,S Four Mile Run Dr & Shirlington Rd,38.84440104486016,-77.08592871669508,13
65,31058,Columbia Pike & Monroe St,38.86033673781836,-77.09369212176671,18
66,31058,Columbia Pike & S Oakland St,38.86078432768519,-77.0958655148148,4
67,31059,Four Mile Run Dr & S Walter Reed Dr,38.84735652982833,-77.09542205320055,12
68,31059,S Four Mile Run Dr & Walter Reed Dr,38.847355831410034,-77.09542189521724,15
69,31060,S Arlington Mill Dr & Campbell Ave,38.8423198381198,-77.08955687416687,44
